scientific_name,quality.indic,FID,subsample_count,specimen_number,subsample_weight,remaining_weight,weight,cruise,ship,haul,collection,latitude,longitude,itis_tsn,sex,is_random_sample,standard_length,fork_length,total_length,mantle_length,start_latitude,start_longitude,stop_latitude,stop_longitude,equilibrium_time.utc,equilibrium_time.pacific,haulback_time.utc,haulback_time.pacific,surface_temp,surface_temp_method,ship_spd_through_water,presence_only,beginTransect,endTransect,quality.indic2
Sardinops sagax,9.885,754,50,1,10.983,63.6,0.253,200307,FR,34,2036,44.0143,-124.4481,161729,female,Y,256,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,755,50,2,10.983,63.6,0.222,200307,FR,34,2036,44.0143,-124.4481,161729,female,Y,257,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,756,50,3,10.983,63.6,0.186,200307,FR,34,2036,44.0143,-124.4481,161729,male,Y,239,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,757,50,4,10.983,63.6,0.212,200307,FR,34,2036,44.0143,-124.4481,161729,female,Y,249,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,758,50,5,10.983,63.6,0.193,200307,FR,34,2036,44.0143,-124.4481,161729,male,Y,244,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,759,50,6,10.983,63.6,0.211,200307,FR,34,2036,44.0143,-124.4481,161729,male,Y,250,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,760,50,7,10.983,63.6,0.192,200307,FR,34,2036,44.0143,-124.4481,161729,female,Y,253,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,761,50,8,10.983,63.6,0.254,200307,FR,34,2036,44.0143,-124.4481,161729,female,Y,271,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,762,50,9,10.983,63.6,0.219,200307,FR,34,2036,44.0143,-124.4481,161729,male,Y,246,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,763,50,10,10.983,63.6,0.251,200307,FR,34,2036,44.0143,-124.4481,161729,male,Y,265,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,764,50,11,10.983,63.6,0.235,200307,FR,34,2036,44.0143,-124.4481,161729,female,Y,256,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,765,50,12,10.983,63.6,0.262,200307,FR,34,2036,44.0143,-124.4481,161729,female,Y,267,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,766,50,13,10.983,63.6,0.238,200307,FR,34,2036,44.0143,-124.4481,161729,male,Y,253,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,767,50,14,10.983,63.6,0.237,200307,FR,34,2036,44.0143,-124.4481,161729,male,Y,265,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,768,50,15,10.983,63.6,0.191,200307,FR,34,2036,44.0143,-124.4481,161729,male,Y,243,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,769,50,16,10.983,63.6,0.232,200307,FR,34,2036,44.0143,-124.4481,161729,female,Y,257,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,770,50,17,10.983,63.6,0.18,200307,FR,34,2036,44.0143,-124.4481,161729,female,Y,241,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,771,50,18,10.983,63.6,0.229,200307,FR,34,2036,44.0143,-124.4481,161729,female,Y,256,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,772,50,19,10.983,63.6,0.201,200307,FR,34,2036,44.0143,-124.4481,161729,male,Y,249,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,773,50,20,10.983,63.6,0.214,200307,FR,34,2036,44.0143,-124.4481,161729,female,Y,248,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,774,50,21,10.983,63.6,0.231,200307,FR,34,2036,44.0143,-124.4481,161729,male,Y,253,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,775,50,22,10.983,63.6,0.191,200307,FR,34,2036,44.0143,-124.4481,161729,female,Y,237,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,776,50,23,10.983,63.6,0.235,200307,FR,34,2036,44.0143,-124.4481,161729,female,Y,255,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,777,50,24,10.983,63.6,0.249,200307,FR,34,2036,44.0143,-124.4481,161729,female,Y,255,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,778,50,25,10.983,63.6,0.226,200307,FR,34,2036,44.0143,-124.4481,161729,female,Y,257,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,779,50,26,10.983,63.6,0.178,200307,FR,34,2036,44.0143,-124.4481,161729,female,Y,227,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,780,50,27,10.983,63.6,0.235,200307,FR,34,2036,44.0143,-124.4481,161729,male,Y,263,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,781,50,28,10.983,63.6,0.198,200307,FR,34,2036,44.0143,-124.4481,161729,female,Y,249,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,782,50,29,10.983,63.6,0.224,200307,FR,34,2036,44.0143,-124.4481,161729,male,Y,248,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,783,50,30,10.983,63.6,0.208,200307,FR,34,2036,44.0143,-124.4481,161729,female,Y,242,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,784,50,31,10.983,63.6,0.226,200307,FR,34,2036,44.0143,-124.4481,161729,male,Y,254,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,785,50,32,10.983,63.6,0.245,200307,FR,34,2036,44.0143,-124.4481,161729,male,Y,250,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,786,50,33,10.983,63.6,0.225,200307,FR,34,2036,44.0143,-124.4481,161729,female,Y,250,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,787,50,34,10.983,63.6,0.229,200307,FR,34,2036,44.0143,-124.4481,161729,male,Y,255,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
Sardinops sagax,9.885,788,50,35,10.983,63.6,0.197,200307,FR,34,2036,44.0143,-124.4481,161729,male,Y,247,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T11:13:00Z,2003-07-20T11:13:00Z,2003-07-20T11:43:00Z,2003-07-20T11:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",9.885
